task_id,asin,keyword,title,url,image_url,price_from,price_to,currency,rating_value,rating_votes,is_best_seller,location_code,language_code,collected_at
10300805-1177-0209-0000-a0d42355a32f,B0BJ72WZQ7,smartwatch,"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",https://www.amazon.in/Noise-Launched-Bluetooth-Calling-Tracking/dp/B0BJ72WZQ7/ref=sr_1_1?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-1,https://m.media-amazon.com/images/I/61-vRq2ulOL._AC_UY218_.jpg,1399,,INR,4,47300,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0CQLZ7W1N,smartwatch,"GOBOULT Drift+ Smart Watch 1.85''HD Screen, Bluetooth Calling, IP68, 500 Nits Brightness,150+ Watchfaces, AI Voice Assistant, SpO2 Monitoring, 100+ Sports Mode Smartwatch (Jet Black)",https://www.amazon.in/Bluetooth-Brightness-Watchfaces-Monitoring-Smartwatch/dp/B0CQLZ7W1N/ref=sr_1_2?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-2,https://m.media-amazon.com/images/I/71Ar4cKZKYL._AC_UY218_.jpg,999,,INR,4,2300,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0FTSDQVD6,smartwatch,"PremiumAV W9 Ultra Smart Watch for Men & Women, Bluetooth Fitness Tracker with Heart Rate & Sleep Monitor, Sports Modes, Waterproof Smartwatch with Notifications, Black, USB Charging",https://www.amazon.in/PremiumAV-Bluetooth-Waterproof-Smartwatch-Notifications/dp/B0FTSDQVD6/ref=sr_1_3?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-3,https://m.media-amazon.com/images/I/510D7yVfYZL._AC_UY218_.jpg,,,,,,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0B6BLTGTT,smartwatch,"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",https://www.amazon.in/Noise-Advanced-Bluetooth-Brightness-Smartwatch/dp/B0B6BLTGTT/ref=sr_1_4?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-4,https://m.media-amazon.com/images/I/61bm7UEdGAL._AC_UY218_.jpg,1399,,INR,4,20900,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0C6F1GT12,smartwatch,"Bouncefit D20 Y68 Fitness Band Smart Watch for Men, Women, Boys, Girls, Kids – Single Touch Interface, Water Resistant, Workout Modes, Quick Charge Sports Smartwatch – Pink",https://www.amazon.in/Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=sr_1_5?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-5,https://m.media-amazon.com/images/I/51rW3mp1PoL._AC_UY218_.jpg,399,,INR,3.4,3100,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0FSY3JFCW,smartwatch,"Ultra 3 Series Smartwatch Combo: Bluetooth Calling, Health Monitoring, Android & iOS Support – 10-in-1 Set (Watch, 7 Straps Multicolours) for Men & Women",https://www.amazon.in/Ultra-Smartwatch-Combo-10-Multicolours/dp/B0FSY3JFCW/ref=sr_1_6?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-6,https://m.media-amazon.com/images/I/41TBuf1wPLL._AC_UY218_.jpg,700,,INR,2.2,4,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0FVFCJ7RB,smartwatch,"PunnkFunnk Newly Launched Fitrivo SmartWatch 2.01"" Curved AMOLED Display, 100+ Watch Faces, Crown Control, 100+ Sports Modes, Bluetooth Calling, IP67, for Men & Women (Millanese Silver)",https://www.amazon.in/PunnkFunnk-SmartWatch-Bluetooth-Millanese-Silver/dp/B0FVFCJ7RB/ref=sr_1_7?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-7,https://m.media-amazon.com/images/I/61+gnnrB5oL._AC_UY218_.jpg,1199,,INR,3.9,17,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0FNX9PGC4,smartwatch,"Smart Watch with HD Touchscreen, 320mAh Battery, Social Apps, Bluetooth Calling, Magnetic Wireless Charging, Black",https://www.amazon.in/Touchscreen-Bluetooth-Magnetic-Wireless-Charging/dp/B0FNX9PGC4/ref=sr_1_8?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-8,https://m.media-amazon.com/images/I/61pZJr+7k6L._AC_UY218_.jpg,639,,INR,2.6,5,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0D962SZZ1,smartwatch,"Fastrack Limitless FS2+ Smart Watch, 2.01"" UltraVU Display, Functional Crown, SingleSync BT Calling, 110+ Sports Modes, 200+ Smartwatch Faces, Upto 7 Day Battery, AI Voice Assistant (Black)",https://www.amazon.in/Fastrack-Limitless-Functional-SingleSync-Smartwatch/dp/B0D962SZZ1/ref=sr_1_9?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-9,https://m.media-amazon.com/images/I/81RSrpHOiaL._AC_UY218_.jpg,1599,,INR,4,16600,False,2356,en_US,2025-10-30T11:38:54.764219
10300805-1177-0209-0000-a0d42355a32f,B0DFYL4635,smartwatch,"boAt Lunar Discovery w/ 1.39"" (3.5 cm) HD Display, Turn-by-Turn Navigation, DIY Watch Face Studio, Bluetooth Calling, Emergency SOS, QR Tray, Smart Watch for Men & Women(Active Black)",https://www.amazon.in/boAt-Lunar-Discovery-Navigation-Bluetooth/dp/B0DFYL4635/ref=sr_1_10?crid=0865WH85AK5H&dib=eyJ2IjoiMSJ9.7Sh__AYopv7oLng3oyIzhiaWrvXLrHKPmMTt6Q4cO7YoBmjJ1SHGkcAzvwxNYV6QyU2tuZA6Nh5fFoBvDxonORcM4hjg3LDxuWgKJz6cYFuf8n47ThYiJwjm0YCiggbvMYW43JHMK_8yvbprsQHLBV7w-fMp68EqBp7AiVZGepPD3H0sbvXdVf3oBRjOd0ar9Py07L6vnNjB8-J8Jc_98zn7PzgAZCJAhd2eXxapqrc.yaS3Dq0HYE5c1faxEP6qg-HiLphx_dwYVOJCdHhTijY&dib_tag=se&keywords=smartwatch&qid=1761804391&sprefix=smartwatch%2Caps%2C136&sr=8-10,https://m.media-amazon.com/images/I/71Iit7U1S+L._AC_UY218_.jpg,1199,,INR,3.9,25000,False,2356,en_US,2025-10-30T11:38:54.764219
